id,marca,categoria,pantalla,gpu,sistema_operativo,nucleos_cpu,tamano_pantalla_cm,frecuencia_cpu,ram_gb,almacenamiento_gb_ssd,peso_kg,precio
1,Acer,4,IPS Panel,2,1,5,35.56,1.6,8,256,1.6,978
2,Dell,3,Full HD,1,1,3,39.624,2.0,4,256,2.2,634
3,Dell,3,Full HD,1,1,7,39.624,2.7,8,256,2.2,946
4,Dell,4,IPS Panel,2,1,5,33.782,1.6,8,128,1.22,1244
5,HP,4,Full HD,2,1,7,39.624,1.8,8,256,1.91,837
6,Dell,3,Full HD,1,1,5,39.624,1.6,8,256,2.2,1016
7,HP,3,Full HD,3,1,5,39.624,1.6,8,256,2.1,1117
8,Acer,3,IPS Panel,2,1,5,38.1,1.6,4,256,2.2,866
9,Dell,3,Full HD,1,1,5,39.624,2.5,4,256,2.3,812
10,Acer,3,IPS Panel,3,1,7,38.1,1.8,8,256,2.2,1068
11,Dell,3,Full HD,1,1,7,39.624,1.8,8,256,2.13,975
12,HP,3,Full HD,2,1,3,39.624,2.0,4,128,1.91,558
13,Asus,3,Full HD,2,2,3,39.624,2.0,4,256,2,527
14,Dell,4,Full HD,2,1,5,35.56,1.6,8,256,1.7,1117
15,Asus,3,Full HD,2,1,5,35.56,1.6,8,256,1.4,1195
16,HP,3,Full HD,2,1,5,39.624,2.5,8,256,1.86,876
17,Dell,4,IPS Panel,1,1,7,33.02,1.8,8,256,1.4,1213
18,Dell,3,Full HD,1,1,7,39.624,1.8,8,256,2.2,1105
19,Dell,4,IPS Panel,2,1,5,38.1,1.6,8,256,1.88,1392
20,HP,3,Full HD,2,1,5,35.56,1.6,8,256,1.63,1092
21,HP,4,IPS Panel,3,1,7,38.1,1.8,8,256,1.83,888
22,HP,3,Full HD,2,1,5,39.624,2.5,8,256,1.96,761
23,Dell,4,IPS Panel,2,1,7,33.02,1.8,8,256,1.21,2095
24,Dell,1,Full HD,3,1,5,39.624,2.5,8,256,2.65,1518
25,Asus,4,Full HD,2,1,7,35.56,2.7,8,256,1.25,1333
26,Dell,3,Full HD,1,2,3,39.624,2.0,4,256,2.2,616
27,Asus,3,Full HD,3,1,3,39.624,2.4,6,256,2,733
28,HP,3,Full HD,1,1,7,39.624,2.7,8,256,1.91,913
29,HP,4,IPS Panel,3,1,7,33.02,2.7,8,256,1.38,1421
30,HP,3,IPS Panel,3,1,5,35.56,2.5,6,256,1.86,837
31,Asus,4,IPS Panel,3,1,7,35.56,2.7,8,256,1.3,1515
32,Lenovo,3,IPS Panel,2,1,7,35.56,2.7,8,256,1.58,1880
33,Dell,4,IPS Panel,2,1,5,33.02,1.6,8,256,1.21,2069
34,Asus,3,Full HD,3,1,7,39.624,1.8,8,256,1.7,1420
35,HP,3,Full HD,2,1,5,43.942,1.6,8,256,2.5,1179
36,Acer,4,IPS Panel,2,1,7,35.56,1.8,8,256,1.6,1123
