id,marca,categoria,pantalla,gpu,sistema_operativo,nucleos_cpu,tamano_pantalla_in,frecuencia_cpu,ram_gb,almacenamiento_gb_ssd,peso_lb,precio
1,Acer,4,IPS Panel,2,1,5,14.0,1.6,8,256,3.53,978
2,Dell,3,Full HD,1,1,3,15.6,2.0,4,256,4.85,634
3,Dell,3,Full HD,1,1,7,15.6,2.7,8,256,4.85,946
4,Dell,4,IPS Panel,2,1,5,13.3,1.6,8,128,2.69,1244
5,HP,4,Full HD,2,1,7,15.6,1.8,8,256,4.21,837
6,Dell,3,Full HD,1,1,5,15.6,1.6,8,256,4.85,1016
7,HP,3,Full HD,3,1,5,15.6,1.6,8,256,4.63,1117
8,Acer,3,IPS Panel,2,1,5,15.0,1.6,4,256,4.85,866
9,Dell,3,Full HD,1,1,5,15.6,2.5,4,256,5.07,812
10,Acer,3,IPS Panel,3,1,7,15.0,1.8,8,256,4.85,1068
11,Dell,3,Full HD,1,1,7,15.6,1.8,8,256,4.7,975
12,HP,3,Full HD,2,1,3,15.6,2.0,4,128,4.21,558
13,Asus,3,Full HD,2,2,3,15.6,2.0,4,256,4.41,527
14,Dell,4,Full HD,2,1,5,14.0,1.6,8,256,3.75,1117
15,Asus,3,Full HD,2,1,5,14.0,1.6,8,256,3.09,1195
16,HP,3,Full HD,2,1,5,15.6,2.5,8,256,4.1,876
17,Dell,4,IPS Panel,1,1,7,13.0,1.8,8,256,3.09,1213
18,Dell,3,Full HD,1,1,7,15.6,1.8,8,256,4.85,1105
19,Dell,4,IPS Panel,2,1,5,15.0,1.6,8,256,4.15,1392
20,HP,3,Full HD,2,1,5,14.0,1.6,8,256,3.59,1092
21,HP,4,IPS Panel,3,1,7,15.0,1.8,8,256,4.04,888
22,HP,3,Full HD,2,1,5,15.6,2.5,8,256,4.32,761
23,Dell,4,IPS Panel,2,1,7,13.0,1.8,8,256,2.67,2095
24,Dell,1,Full HD,3,1,5,15.6,2.5,8,256,5.84,1518
25,Asus,4,Full HD,2,1,7,14.0,2.7,8,256,2.76,1333
26,Dell,3,Full HD,1,2,3,15.6,2.0,4,256,4.85,616
27,Asus,3,Full HD,3,1,3,15.6,2.4,6,256,4.41,733
28,HP,3,Full HD,1,1,7,15.6,2.7,8,256,4.21,913
29,HP,4,IPS Panel,3,1,7,13.0,2.7,8,256,3.04,1421
30,HP,3,IPS Panel,3,1,5,14.0,2.5,6,256,4.1,837
31,Asus,4,IPS Panel,3,1,7,14.0,2.7,8,256,2.87,1515
32,Lenovo,3,IPS Panel,2,1,7,14.0,2.7,8,256,3.48,1880
33,Dell,4,IPS Panel,2,1,5,13.0,1.6,8,256,2.67,2069
34,Asus,3,Full HD,3,1,7,15.6,1.8,8,256,3.75,1420
35,HP,3,Full HD,2,1,5,17.3,1.6,8,256,5.51,1179
36,Acer,4,IPS Panel,2,1,7,14.0,1.8,8,256,3.53,1123
37,Acer,3,Full HD,3,1,3,15.6,2.7,4,256,4.85,727
38,HP,3,Full HD,2,1,7,14.0,1.8,8,256,3.59,1255
39,HP,3,IPS Panel,2,1,5,13.0,2.5,4,256,4.1,888
40,Lenovo,3,IPS Panel,1,1,5,14.0,1.6,8,256,3.86,1418
41,Asus,4,Full HD,2,1,7,14.0,1.8,8,256,2.76,1396
42,HP,4,Full HD,2,1,5,14.0,2.7,4,256,3.26,1374
43,HP,3,Full HD,1,1,5,15.6,1.6,6,256,4.21,786
44,Acer,3,IPS Panel,3,1,5,17.0,1.6,4,256,6.62,1023
45,Dell,3,Full HD,1,1,5,15.6,1.6,8,256,4.7,925
46,Lenovo,1,IPS Panel,3,1,7,15.0,2.8,16,256,5.51,1371
47,Acer,3,IPS Panel,3,1,5,17.0,1.6,8,256,6.62,1085
48,Huawei,4,IPS Panel,2,1,5,13.0,2.5,8,256,2.32,1714
49,HP,3,Full HD,3,1,5,17.3,1.6,8,256,5.51,1172
50,Dell,4,Full HD,2,1,5,13.3,1.6,8,256,4.1,1777
51,Acer,4,IPS Panel,2,1,5,13.0,1.2,8,256,2.47,1256
52,HP,3,Full HD,3,1,7,17.3,1.8,8,256,5.51,1327
53,Dell,4,Full HD,2,1,7,13.3,1.8,8,256,2.65,1841
54,Dell,4,IPS Panel,1,1,7,13.0,1.8,8,256,3.09,1184
55,HP,3,Full HD,3,1,7,14.0,1.8,8,256,3.59,1310
56,Dell,4,Full HD,2,1,5,14.0,1.6,8,256,3.53,1460
57,Dell,3,Full HD,1,2,5,15.6,1.6,8,256,4.85,860
58,Toshiba,4,Full HD,2,1,7,13.3,2.5,8,256,2.65,1731
59,Acer,3,Full HD,3,1,7,15.6,2.7,8,256,4.85,1057
60,Asus,3,Full HD,3,1,5,15.6,2.5,8,256,4.41,977
61,Dell,3,Full HD,2,1,5,14.0,2.5,8,256,3.53,1091
62,Dell,3,Full HD,1,2,7,15.6,2.7,16,256,4.1,1142
63,Acer,1,IPS Panel,3,1,5,15.0,2.5,8,256,5.51,1075
