id,marca,tipo_combustible,aspiracion,numero_puertas,estilo_carroceria,ruedas_motrices,ubicacion_motor,base_ruedas,longitud,ancho,altura,peso_en_vacio,tipo_motor,numero_cilindros,tamano_motor,sistema_combustible,diametro_cilindro,carrera_cilindro,relacion_compresion,potencia_hp,rpm_maximas,consumo_ciudad_kpg,consumo_carretera_kpg,precio,longitud_normalizada,ancho_normalizado,altura_normalizada,potencia_hp_agrupada,tipo_combustible_diesel,tipo_combustible_gas,aspiracion_std,aspiracion_turbo
1,alfa-romero,gas,std,two,convertible,rwd,front,88.6,168.8,64.1,48.8,2548,dohc,four,130,mpfi,3.47,2.68,9.0,111,5000,33,43,13495,0.8111,0.8903,0.8161,Baja,0,1,1,0
2,alfa-romero,gas,std,two,convertible,rwd,front,88.6,168.8,64.1,48.8,2548,dohc,four,130,mpfi,3.47,2.68,9.0,111,5000,33,43,16500,0.8111,0.8903,0.8161,Baja,0,1,1,0
3,alfa-romero,gas,std,two,hatchback,rwd,front,94.5,171.2,65.5,52.4,2823,ohcv,six,152,mpfi,2.68,3.47,9.0,154,5000,30,41,16500,0.8227,0.9097,0.8763,Media,0,1,1,0
4,audi,gas,std,four,sedan,fwd,front,99.8,176.6,66.2,54.3,2337,ohc,four,109,mpfi,3.19,3.4,10.0,102,5500,38,48,13950,0.8486,0.9194,0.908,Baja,0,1,1,0
5,audi,gas,std,four,sedan,4wd,front,99.4,176.6,66.4,54.3,2824,ohc,five,136,mpfi,3.19,3.4,8.0,115,5500,28,35,17450,0.8486,0.9222,0.908,Baja,0,1,1,0
6,audi,gas,std,two,sedan,fwd,front,99.8,177.3,66.3,53.1,2507,ohc,five,136,mpfi,3.19,3.4,8.5,110,5500,30,40,15250,0.852,0.9208,0.888,Baja,0,1,1,0
7,audi,gas,std,four,sedan,fwd,front,105.8,192.7,71.4,55.7,2844,ohc,five,136,mpfi,3.19,3.4,8.5,110,5500,30,40,17710,0.926,0.9917,0.9314,Baja,0,1,1,0
8,audi,gas,std,four,wagon,fwd,front,105.8,192.7,71.4,55.7,2954,ohc,five,136,mpfi,3.19,3.4,8.5,110,5500,30,40,18920,0.926,0.9917,0.9314,Baja,0,1,1,0
9,audi,gas,turbo,four,sedan,fwd,front,105.8,192.7,71.4,55.9,3086,ohc,five,131,mpfi,3.13,3.4,8.3,140,5500,27,32,23875,0.926,0.9917,0.9348,Media,0,1,0,1
11,bmw,gas,std,two,sedan,rwd,front,101.2,176.8,64.8,54.3,2395,ohc,four,108,mpfi,3.5,2.8,8.8,101,5800,37,46,16430,0.8496,0.9,0.908,Baja,0,1,1,0
12,bmw,gas,std,four,sedan,rwd,front,101.2,176.8,64.8,54.3,2395,ohc,four,108,mpfi,3.5,2.8,8.8,101,5800,37,46,16925,0.8496,0.9,0.908,Baja,0,1,1,0
13,bmw,gas,std,two,sedan,rwd,front,101.2,176.8,64.8,54.3,2710,ohc,six,164,mpfi,3.31,3.19,9.0,121,4250,33,45,20970,0.8496,0.9,0.908,Media,0,1,1,0
14,bmw,gas,std,four,sedan,rwd,front,101.2,176.8,64.8,54.3,2765,ohc,six,164,mpfi,3.31,3.19,9.0,121,4250,33,45,21105,0.8496,0.9,0.908,Media,0,1,1,0
15,bmw,gas,std,four,sedan,rwd,front,103.5,189.0,66.9,55.7,3055,ohc,six,164,mpfi,3.31,3.19,9.0,121,4250,32,40,24565,0.9082,0.9292,0.9314,Media,0,1,1,0
16,bmw,gas,std,four,sedan,rwd,front,103.5,189.0,66.9,55.7,3230,ohc,six,209,mpfi,3.62,3.39,8.0,182,5400,25,35,30760,0.9082,0.9292,0.9314,Media,0,1,1,0
17,bmw,gas,std,two,sedan,rwd,front,103.5,193.8,67.9,53.7,3380,ohc,six,209,mpfi,3.62,3.39,8.0,182,5400,25,35,41315,0.9313,0.9431,0.898,Media,0,1,1,0
18,bmw,gas,std,four,sedan,rwd,front,110.0,197.0,70.9,56.3,3505,ohc,six,209,mpfi,3.62,3.39,8.0,182,5400,24,32,36880,0.9467,0.9847,0.9415,Media,0,1,1,0
19,chevrolet,gas,std,two,hatchback,fwd,front,88.4,141.1,60.3,53.2,1488,l,three,61,2bbl,2.91,3.03,9.5,48,5100,75,85,5151,0.678,0.8375,0.8896,Baja,0,1,1,0
20,chevrolet,gas,std,two,hatchback,fwd,front,94.5,155.9,63.6,52.0,1874,ohc,four,90,2bbl,3.03,3.11,9.6,70,5400,61,69,6295,0.7492,0.8833,0.8696,Baja,0,1,1,0
21,chevrolet,gas,std,four,sedan,fwd,front,94.5,158.8,63.6,52.0,1909,ohc,four,90,2bbl,3.03,3.11,9.6,70,5400,61,69,6575,0.7631,0.8833,0.8696,Baja,0,1,1,0
22,dodge,gas,std,two,hatchback,fwd,front,93.7,157.3,63.8,50.8,1876,ohc,four,90,2bbl,2.97,3.23,9.41,68,5500,59,65,5572,0.7559,0.8861,0.8495,Baja,0,1,1,0
23,dodge,gas,std,two,hatchback,fwd,front,93.7,157.3,63.8,50.8,1876,ohc,four,90,2bbl,2.97,3.23,9.4,68,5500,49,61,6377,0.7559,0.8861,0.8495,Baja,0,1,1,0
