id,marca,categoria,pantalla,gpu,sistema_operativo,nucleos_cpu,tamano_pantalla_in,frecuencia_cpu,ram_gb,almacenamiento_gb_ssd,peso_lb,precio,frecuencia_cpu_normalizada,precio_agrupado,pantalla_full_hd,pantalla_ips_panel
1,Acer,4,IPS Panel,2,1,5,14.0,1.6,8,256,3.53,978,0.2353,Bajo,0,1
2,Dell,3,Full HD,1,1,3,15.6,2.0,4,256,4.85,634,0.4706,Bajo,1,0
3,Dell,3,Full HD,1,1,7,15.6,2.7,8,256,4.85,946,0.8824,Bajo,1,0
4,Dell,4,IPS Panel,2,1,5,13.3,1.6,8,128,2.69,1244,0.2353,Bajo,0,1
5,HP,4,Full HD,2,1,7,15.6,1.8,8,256,4.21,837,0.3529,Bajo,1,0
6,Dell,3,Full HD,1,1,5,15.6,1.6,8,256,4.85,1016,0.2353,Bajo,1,0
7,HP,3,Full HD,3,1,5,15.6,1.6,8,256,4.63,1117,0.2353,Bajo,1,0
8,Acer,3,IPS Panel,2,1,5,15.0,1.6,4,256,4.85,866,0.2353,Bajo,0,1
9,Dell,3,Full HD,1,1,5,15.6,2.5,4,256,5.07,812,0.7647,Bajo,1,0
10,Acer,3,IPS Panel,3,1,7,15.0,1.8,8,256,4.85,1068,0.3529,Bajo,0,1
11,Dell,3,Full HD,1,1,7,15.6,1.8,8,256,4.7,975,0.3529,Bajo,1,0
12,HP,3,Full HD,2,1,3,15.6,2.0,4,128,4.21,558,0.4706,Bajo,1,0
13,Asus,3,Full HD,2,2,3,15.6,2.0,4,256,4.41,527,0.4706,Bajo,1,0
14,Dell,4,Full HD,2,1,5,14.0,1.6,8,256,3.75,1117,0.2353,Bajo,1,0
15,Asus,3,Full HD,2,1,5,14.0,1.6,8,256,3.09,1195,0.2353,Bajo,1,0
16,HP,3,Full HD,2,1,5,15.6,2.5,8,256,4.1,876,0.7647,Bajo,1,0
17,Dell,4,IPS Panel,1,1,7,13.0,1.8,8,256,3.09,1213,0.3529,Bajo,0,1
18,Dell,3,Full HD,1,1,7,15.6,1.8,8,256,4.85,1105,0.3529,Bajo,1,0
19,Dell,4,IPS Panel,2,1,5,15.0,1.6,8,256,4.15,1392,0.2353,Bajo,0,1
20,HP,3,Full HD,2,1,5,14.0,1.6,8,256,3.59,1092,0.2353,Bajo,1,0
21,HP,4,IPS Panel,3,1,7,15.0,1.8,8,256,4.04,888,0.3529,Bajo,0,1
22,HP,3,Full HD,2,1,5,15.6,2.5,8,256,4.32,761,0.7647,Bajo,1,0
23,Dell,4,IPS Panel,2,1,7,13.0,1.8,8,256,2.67,2095,0.3529,Medio,0,1
24,Dell,1,Full HD,3,1,5,15.6,2.5,8,256,5.84,1518,0.7647,Bajo,1,0
25,Asus,4,Full HD,2,1,7,14.0,2.7,8,256,2.76,1333,0.8824,Bajo,1,0
26,Dell,3,Full HD,1,2,3,15.6,2.0,4,256,4.85,616,0.4706,Bajo,1,0
27,Asus,3,Full HD,3,1,3,15.6,2.4,6,256,4.41,733,0.7059,Bajo,1,0
28,HP,3,Full HD,1,1,7,15.6,2.7,8,256,4.21,913,0.8824,Bajo,1,0
29,HP,4,IPS Panel,3,1,7,13.0,2.7,8,256,3.04,1421,0.8824,Bajo,0,1
30,HP,3,IPS Panel,3,1,5,14.0,2.5,6,256,4.1,837,0.7647,Bajo,0,1
31,Asus,4,IPS Panel,3,1,7,14.0,2.7,8,256,2.87,1515,0.8824,Bajo,0,1
32,Lenovo,3,IPS Panel,2,1,7,14.0,2.7,8,256,3.48,1880,0.8824,Medio,0,1
33,Dell,4,IPS Panel,2,1,5,13.0,1.6,8,256,2.67,2069,0.2353,Medio,0,1
34,Asus,3,Full HD,3,1,7,15.6,1.8,8,256,3.75,1420,0.3529,Bajo,1,0
35,HP,3,Full HD,2,1,5,17.3,1.6,8,256,5.51,1179,0.2353,Bajo,1,0
36,Acer,4,IPS Panel,2,1,7,14.0,1.8,8,256,3.53,1123,0.3529,Bajo,0,1
37,Acer,3,Full HD,3,1,3,15.6,2.7,4,256,4.85,727,0.8824,Bajo,1,0
38,HP,3,Full HD,2,1,7,14.0,1.8,8,256,3.59,1255,0.3529,Bajo,1,0
39,HP,3,IPS Panel,2,1,5,13.0,2.5,4,256,4.1,888,0.7647,Bajo,0,1
40,Lenovo,3,IPS Panel,1,1,5,14.0,1.6,8,256,3.86,1418,0.2353,Bajo,0,1
41,Asus,4,Full HD,2,1,7,14.0,1.8,8,256,2.76,1396,0.3529,Bajo,1,0
42,HP,4,Full HD,2,1,5,14.0,2.7,4,256,3.26,1374,0.8824,Bajo,1,0
43,HP,3,Full HD,1,1,5,15.6,1.6,6,256,4.21,786,0.2353,Bajo,1,0
44,Acer,3,IPS Panel,3,1,5,17.0,1.6,4,256,6.62,1023,0.2353,Bajo,0,1
45,Dell,3,Full HD,1,1,5,15.6,1.6,8,256,4.7,925,0.2353,Bajo,1,0
46,Lenovo,1,IPS Panel,3,1,7,15.0,2.8,16,256,5.51,1371,0.9412,Bajo,0,1
47,Acer,3,IPS Panel,3,1,5,17.0,1.6,8,256,6.62,1085,0.2353,Bajo,0,1
48,Huawei,4,IPS Panel,2,1,5,13.0,2.5,8,256,2.32,1714,0.7647,Medio,0,1
49,HP,3,Full HD,3,1,5,17.3,1.6,8,256,5.51,1172,0.2353,Bajo,1,0
50,Dell,4,Full HD,2,1,5,13.3,1.6,8,256,4.1,1777,0.2353,Medio,1,0
51,Acer,4,IPS Panel,2,1,5,13.0,1.2,8,256,2.47,1256,0.0,Bajo,0,1
52,HP,3,Full HD,3,1,7,17.3,1.8,8,256,5.51,1327,0.3529,Bajo,1,0
53,Dell,4,Full HD,2,1,7,13.3,1.8,8,256,2.65,1841,0.3529,Medio,1,0
54,Dell,4,IPS Panel,1,1,7,13.0,1.8,8,256,3.09,1184,0.3529,Bajo,0,1
55,HP,3,Full HD,3,1,7,14.0,1.8,8,256,3.59,1310,0.3529,Bajo,1,0
56,Dell,4,Full HD,2,1,5,14.0,1.6,8,256,3.53,1460,0.2353,Bajo,1,0
57,Dell,3,Full HD,1,2,5,15.6,1.6,8,256,4.85,860,0.2353,Bajo,1,0
58,Toshiba,4,Full HD,2,1,7,13.3,2.5,8,256,2.65,1731,0.7647,Medio,1,0
59,Acer,3,Full HD,3,1,7,15.6,2.7,8,256,4.85,1057,0.8824,Bajo,1,0
60,Asus,3,Full HD,3,1,5,15.6,2.5,8,256,4.41,977,0.7647,Bajo,1,0
61,Dell,3,Full HD,2,1,5,14.0,2.5,8,256,3.53,1091,0.7647,Bajo,1,0
62,Dell,3,Full HD,1,2,7,15.6,2.7,16,256,4.1,1142,0.8824,Bajo,1,0
63,Acer,1,IPS Panel,3,1,5,15.0,2.5,8,256,5.51,1075,0.7647,Bajo,0,1
64,Dell,1,Full HD,3,1,5,15.6,2.5,8,256,5.64,1117,0.7647,Bajo,1,0
65,Asus,1,Full HD,3,1,7,17.3,2.9,16,256,7.94,3810,1.0,Alto,1,0
66,Acer,3,IPS Panel,3,1,3,17.0,2.7,4,256,6.62,892,0.8824,Bajo,0,1
67,Dell,4,Full HD,2,1,5,13.3,1.6,8,256,3.11,1206,0.2353,Bajo,1,0
68,Lenovo,3,Full HD,2,1,7,15.6,1.8,8,256,4.52,1118,0.3529,Bajo,1,0
69,Dell,3,Full HD,1,2,7,15.6,1.8,8,256,4.1,934,0.3529,Bajo,1,0
70,Lenovo,1,IPS Panel,3,1,5,15.0,2.5,8,256,5.51,1053,0.7647,Bajo,0,1
